Title,Artist,Album,Duration,FilePath
The Emptiness Machine,Linkin Park,The Emptiness Machine,190,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A
Who,Jimin,MUSE,170,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),391,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv
Thunderstruck,AC/DC,The Razors Edge,292,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj
Seven Nation Army,The White Stripes,Elephant,232,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR
Creep,Radiohead,Pablo Honey,238,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r
Come As You Are,Nirvana,Nevermind (Remastered),218,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),329,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,356,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW
Paint It; Black,The Rolling Stones,Aftermath,202,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),257,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz
Everlong,Foo Fighters,The Colour And The Shape,250,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),175,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),206,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI
Another Brick in the Wall; Pt. 2,Pink Floyd,The Wall,238,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV
Runaway,Bon Jovi,Bon Jovi,230,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ
Basket Case,Green Day,Dookie,181,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),264,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0
White Wedding - Pt. 1,Billy Idol,Billy Idol,252,https://api.spotify.com/v1/tracks/1gzIbdFnGJ226LTl0Cn2SX
You Shook Me All Night Long,AC/DC,Back In Black,210,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,222,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),254,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq
Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),333,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8
Riders on the Storm,The Doors,L.A. Woman,434,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe
Even Flow,Pearl Jam,Ten,292,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,278,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),357,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,283,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,240,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),336,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),261,https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,211,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),515,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),226,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),160,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU
Just What I Needed,The Cars,The Cars,225,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),301,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),313,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),259,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),323,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),121,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),234,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),188,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz
Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),214,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J
Uprising,Muse,The Resistance,304,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ
For What It's Worth,Buffalo Springfield,Buffalo Springfield,153,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA
You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),156,https://api.spotify.com/v1/tracks/0upLyFR8Rr52ZpMp5esQoq
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),318,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD
Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,196,https://api.spotify.com/v1/tracks/4YMQXzscifAREG0a7KNGhB
Fly Away,Lenny Kravitz,5,221,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW
Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),290,https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO
Heroes - 2017 Remaster,David Bowie,Heroes (2017 Remaster),371,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z
Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),146,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,303,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp
Back In Black,AC/DC,Back In Black,255,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj
Barracuda,Heart,Little Queen,261,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz
Rocket Man (I Think It's Going To Be A Long; Long Time),Elton John,Honky Chateau,281,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY
Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),281,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa
Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),286,https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p
Africa,TOTO,Toto IV,295,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,308,https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),266,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1
Comfortably Numb,Pink Floyd,The Wall,382,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),295,https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb
No One Knows,Queens of the Stone Age,Songs For The Deaf,278,https://api.spotify.com/v1/tracks/6y20BV5L33R8YXM0YuI38N
Long Train Runnin',The Doobie Brothers,The Captain and Me,207,https://api.spotify.com/v1/tracks/4nXkbcTj3nyww1cHkw5RAP
Loser,Beck,Mellow Gold,235,https://api.spotify.com/v1/tracks/5PntSbMHC1ud6Vvl8x56qd
American Pie,Don McLean,American Pie,516,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),191,https://api.spotify.com/v1/tracks/3EYOJ48Et32uATr9ZmLnAo
My Sharona,The Knack,Get The Knack,295,https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj
Walk On the Wild Side,Lou Reed,Transformer,254,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G
The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),266,https://api.spotify.com/v1/tracks/43DeSV93pJPT4lCZaWZ6b1
Highway to Hell,AC/DC,Highway to Hell,208,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s
Vienna,Billy Joel,The Stranger (Legacy Edition),214,https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7
Alive,Pearl Jam,Ten,340,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv
The Best,Tina Turner,Foreign Affair,329,https://api.spotify.com/v1/tracks/6pPWRBubXOBAHnjl5ZIujB
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),282,https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0
Good Riddance (Time of Your Life),Green Day,Nimrod,153,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ
The Boys Of Summer,Don Henley,Building The Perfect Beast,288,https://api.spotify.com/v1/tracks/4gvea7UlDkAvsJBPZAd4oB
Break on Through (To the Other Side),The Doors,The Doors,145,https://api.spotify.com/v1/tracks/6ToM0uwxtPKo9CMpbPGYvM
Sabotage,Beastie Boys,Ill Communication,178,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9
Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hysteria (Super Deluxe),267,https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO
Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,235,https://api.spotify.com/v1/tracks/5OQsiBsky2k2kDKy2bX2eT
Hit Me With Your Best Shot,Pat Benatar,Crimes Of Passion,171,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),258,https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,Purple (2019 Remaster),194,https://api.spotify.com/v1/tracks/6qLEOZvf5gI7kWE63JE7p3
London Calling - Remastered,The Clash,London Calling (Remastered),200,https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH
Wish You Were Here,Pink Floyd,Wish You Were Here,334,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1
Free Fallin',Tom Petty,Full Moon Fever,256,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv
No Rain,Blind Melon,Blind Melon,217,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT
Panama - 2015 Remaster,Van Halen,1984 (Remastered),210,https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS
Would? (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),206,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS
Born to Run,Bruce Springsteen,Born To Run,269,https://api.spotify.com/v1/tracks/6hTcuIQa0sxrrByu9wTD7s
Unforgettable,Nat King Cole,Unforgettable,191,https://api.spotify.com/v1/tracks/648TTtYB0bH0P8Hfy0FmkL
Tchaikovsky: Swan Lake; Op. 20; Act 2: No. 10; Scene. Moderato,Pyotr Ilyich Tchaikovsky; André Previn; London Symphony Orchestra,Tchaikovsky: Swan Lake,166,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt
Sonata No. 14 Moonlight in C-Sharp Minor; Op. 27 No. 2: I. Adagio sostenuto,Ludwig van Beethoven; Paul Lewis,Beethoven: Piano Sonatas; Vol.3,315,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG
Experience,Ludovico Einaudi; Daniel Hope; I Virtuosi Italiani,In A Time Lapse,315,https://api.spotify.com/v1/tracks/1BncfTJAWxrsxyT9culBrj
Sticky (feat. GloRilla; Sexyy Red & Lil Wayne),Tyler; The Creator; GloRilla; Sexyy Red; Lil Wayne,CHROMAKOPIA,255,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R
HIM ALL ALONG,Gunna,HIM ALL ALONG,158,https://api.spotify.com/v1/tracks/2EKL77lwxvo615Ga7VjEUl
Leave Me Alone,BigXthaPlug,TAKE CARE,143,https://api.spotify.com/v1/tracks/4CkbpelT92r4dVkceDX9g1
PLUTOSKI,Future,MIXTAPE PLUTO,179,https://api.spotify.com/v1/tracks/2t4H61OtTYgmDe61KxkjKH
Timeless (with Playboi Carti),The Weeknd; Playboi Carti,Timeless,256,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla; Sexyy Red,GLORIOUS,149,https://api.spotify.com/v1/tracks/5xeSd4HgzrYpNLEf3LfYLK
Insecurities,Lil Baby,Insecurities,127,https://api.spotify.com/v1/tracks/6afQ4fJDJ9QqU5BKIH99Ej
Gang Baby,NLE Choppa,SLUT SZN,138,https://api.spotify.com/v1/tracks/76Ku9OBFK1NjMylR8r4WLK
NEW DROP,Don Toliver,HARDSTONE PSYCHO,217,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf
Help Me,Real Boston Richey,Help Me,181,https://api.spotify.com/v1/tracks/487JCvAXVblflZyDJn3fSp
No Face,Drake,No Face,137,https://api.spotify.com/v1/tracks/1560osUcXrnov6yuOjXvc1
LIL DEMON,Future,MIXTAPE PLUTO,139,https://api.spotify.com/v1/tracks/3aCPResPDNae3pXTocGpYe
2 Slippery (feat. BossMan Dlow),Luh Tyler; BossMan Dlow,Mr. Skii,159,https://api.spotify.com/v1/tracks/62oLxos6R04SVYL1lXidvu
Sorry Not Sorry,Lil Yachty; Veeze,Sorry Not Sorry,136,https://api.spotify.com/v1/tracks/4lwfqyQXSDJ7kELpMErMih
ALL RED,Playboi Carti,ALL RED,148,https://api.spotify.com/v1/tracks/2cZOYofOX4d6g0OXxkaIjA
I CAN’T LET GO,Lil Tecca; Don Toliver,PLAN A,150,https://api.spotify.com/v1/tracks/1Ftb0PK0Qqwax3gofiMd2X
Chill Bae,Lil Uzi Vert,Eternal Atake 2,138,https://api.spotify.com/v1/tracks/4ppKM7xnkSAwSyKqD4QTY4
2AM,BigXthaPlug,TAKE CARE,184,https://api.spotify.com/v1/tracks/26TX1oZbaDeKxfTYDclSAo
It's Up (feat. Young Thug & 21 Savage),Drake; Young Thug; 21 Savage,100 GIGS,278,https://api.spotify.com/v1/tracks/1qIwin7JMVuX70qN6wD8ww
The Viper,BabyChiefDoit,The Viper,150,https://api.spotify.com/v1/tracks/2JapCT0xikq6Fy1PQiJz1C
Brokey,Latto,Sugar Honey Iced Tea,217,https://api.spotify.com/v1/tracks/1JF8LkQWZ8grXb2emqrNKn
25,Rod Wave,Last Lap,180,https://api.spotify.com/v1/tracks/0U60hgxzGit7juEuHul2y3
Or What,NLE Choppa; 41; Kyle Richh,Or What,199,https://api.spotify.com/v1/tracks/3lUYO6zvXI88sNDpyKvIJ2
Type Shit,Future; Metro Boomin; Travis Scott; Playboi Carti,WE DON'T TRUST YOU,228,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C
Not Like Us,Kendrick Lamar,Not Like Us,274,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3
Thought I Was Dead (feat. ScHoolboy Q & Santigold),Tyler; The Creator; ScHoolboy Q; Santigold,CHROMAKOPIA,207,https://api.spotify.com/v1/tracks/2aYHxnMF2umAavtgBvmkY1
FIELD TRIP,¥$; Playboi Carti; Don Toliver; Kodak Black,FIELD TRIP,167,https://api.spotify.com/v1/tracks/3lCb7ZYE3Fvie4JOPqpXfY
TEFLON DON,Future,MIXTAPE PLUTO,159,https://api.spotify.com/v1/tracks/2jnezASa7o0lP6aif6VrIf
Circadian Rhythm,Drake,100 GIGS,126,https://api.spotify.com/v1/tracks/1eroCliWpJrEu1V7VSObcO
The Largest,BigXthaPlug,The Largest,132,https://api.spotify.com/v1/tracks/1F5Qp0SJS0QUfqIoQggrLz
Light Year (Practice),Lil Uzi Vert,Eternal Atake 2,164,https://api.spotify.com/v1/tracks/3NE6g9h77FZbQqCLzUpGRt
Blow for Blow (feat. J. Cole),Tee Grizzley; J. Cole,Blow for Blow (feat. J. Cole),210,https://api.spotify.com/v1/tracks/3rXlcLZk3MCaRPND5g9QiW
Rah Tah Tah,Tyler; The Creator,CHROMAKOPIA,165,https://api.spotify.com/v1/tracks/5RePVWy39tLpHH0WwXgBsK
Both Ways,Juice WRLD,The Pre-Party (Extended),197,https://api.spotify.com/v1/tracks/2FRc9wqgIjg2E3bH13ww6U
NISSAN ALTIMA,Doechii,Alligator Bites Never Heal,126,https://api.spotify.com/v1/tracks/2dKkVF2m160z0RNDN2dddc
Tailor Swif,A$AP Rocky,Tailor Swif,155,https://api.spotify.com/v1/tracks/5xMjhZKSo8yh5r9b5vrYRr
GEEK TIMË,Yeat,LYFESTYLE,170,https://api.spotify.com/v1/tracks/32ioWMgkyA6mFcXJMggBoz
